categoryId,nameEn,namePt,descriptionEn,descriptionPt,price,order,available
STARTERS_ID_HERE,Garlic Bread with Cheese,Pão de Alho com Queijo,100% mozzarella, garlic, oregano, olive oil,100% mozzarella, alho, orégãos, azeite,2.50€,10,true
STARTERS_ID_HERE,Avocado Toast,Torrada de Abacate,"Toast, avocado, feta, olive oil, salt, lemon, pepper","Torrada, abacate, feta, azeite, sal, limão, pimenta",6.00€,20,true
STARTERS_ID_HERE,Garlic Finger with Cheese,Dedo de Alho com Queijo,"Cheese, garlic, butter, oregano","Queijo, alho, manteiga, orégãos",6.50€,30,true
STARTERS_ID_HERE,Burrata,Burrata,"Burrata 120gm cheese, arugula, cherry tomatoes, olive oil, oregano","Queijo burrata 120gm, rúcula, tomate cereja, azeite, orégãos",6.50€,40,true
STARTERS_ID_HERE,Pepperoni Roll (6 units),Rolo de Pepperoni (6 unidades),"Pepperoni, mozzarella, olive oil, oregano","Pepperoni, mozzarella, azeite, orégãos",6.99€,50,true
STARTERS_ID_HERE,Cheese Stick,Palito de Queijo,"Made capatu, mozzarella, basil, oregano","Feito capatu, mozzarella, manjericão, orégãos",6.99€,60,true
STARTERS_ID_HERE,Shrimp Finger,Dedo de Camarão,"Tomato sauce, mozzarella, shrimp, and mayonnaise","Molho de tomate, mozzarella, camarão e maionese",7.99€,70,true
STARTERS_ID_HERE,Bruschetta Prosciutto,Bruschetta Prosciutto,"Toasted bread, ricotta cheese, ham, basil pesto","Pão torrado, queijo ricota, presunto, pesto de manjericão",4.99€,80,true
STARTERS_ID_HERE,Bruschetta Milano,Bruschetta Milano,"Toasted buffalo bread, rocket, cherry tomatoes, fresh","Pão de búfala torrado, rúcula, tomate cereja, fresco",4.99€,90,true
PIZZA_ID_HERE,Pizza Marinara with Buffalo,Pizza Marinara com Búfala,"Caputo flour, tomato sauce, cherry tomato, buffalo, basil, oregano","Farinha Caputo, molho de tomate, tomate cereja, búfala, manjericão, orégãos",M: 8.50€ / R: 9.50€,10,true
PIZZA_ID_HERE,Queijoes Sabor Special,Queijões Sabor Especial,"Caputo flour, tomato sauce, fresh mozzarella, gorgonzola, taleggio, parmesan, oregano","Farinha Caputo, molho de tomate, mozzarella fresca, gorgonzola, taleggio, parmesão, orégãos",M: 8.50€ / R: 9.50€,20,true
